WST,12
ANAT,11
MAGT,10
AEST,9
JST,8
CST,7
ICT,6
ALMT,5
PKT,4
GST,3
EEST,2
CEST,1
GMT,0
EGST,-1
CVT,-2
WGST,-3
BRT,-4
EST,-5
CST,-6
MST,-7
PST,-8
AKDT,-9
HST,-10
NUT,-11
SST,-12
