('BA', 'LHR', 'CDG', 316, '2:35 PM', '4:55 PM', '1:20'),
('BA', 'LHR', 'HND', 7, '11:40 AM', '7:10 AM', '11:30'),
('BA', 'LHR', 'JFK', 177, '1:10 PM', '4:00 PM', '7:50'),
('BA', 'LHR', 'LAX', 281, '11:30 AM', '2:50 PM', '11:20'),
('BA', 'LHR', 'ORD', 297, '4:05 PM', '6:45 PM', '8:40'),
('BA', 'LHR', 'PEK', 39, '4:30 PM', '9:30 AM', '10:00'),
('BA', 'ORD', 'LHR', 296, '8:55 PM', '10:40 AM', '7:45'),
('BA', 'PEK', 'LHR', 38, '11:15 AM', '3:30 PM', '11:15'),
('CZ', 'AMS', 'PEK', 346, '2:40 PM', '6:15 AM', '9:35'),
('CZ', 'PEK', 'AMS', 345, '12:30 AM', '5:30 AM', '11:00'),
('DL', 'AMS', 'ATL', 73, '10:35 AM', '2:21 PM', '9:46'),
('DL', 'AMS', 'JFK', 49, '10:55 AM', '1:16 PM', '8:21'),
('DL', 'ATL', 'AMS', 70, '3:05 PM', '5:55 AM', '8:50'),
('DL', 'ATL', 'CDG', 82, '3:15 PM', '6:00 AM', '8:45'),
('DL', 'ATL', 'JFK', 752, '12:06 PM', '2:28 PM', '2:22'),
('DL', 'ATL', 'LAX', 1218, '5:40 PM', '7:30 PM', '4:50'),
('DL', 'ATL', 'LHR', 30, '5:53 PM', '7:20 AM', '8:27'),
('DL', 'ATL', 'ORD', 972, '10:25 AM', '11:29 AM', '2:04'),
('DL', 'CDG', 'ATL', 85, '3:20 PM', '7:01 PM', '9:41'),
('DL', 'CDG', 'JFK', 405, '10:20 AM', '12:42 PM', '8:22'),
('DL', 'HND', 'LAX', 6, '3:15 PM', '9:06 AM', '9:41'),
('DL', 'JFK', 'AMS', 48, '7:33 PM', '9:15 AM', '7:42'),
('DL', 'JFK', 'ATL', 453, '11:35 AM', '2:11 PM', '2:36'),
('DL', 'JFK', 'CDG', 404, '5:44 PM', '7:20 AM', '7:36'),
('DL', 'JFK', 'LAX', 400, '3:30 PM', '6:48 PM', '6:18'),
('DL', 'JFK', 'LHR', 402, '10:45 PM', '10:50 AM', '7:05'),
('DL', 'JFK', 'ORD', 4083, '4:15 PM', '6:05 PM', '2:50'),
('DL', 'LAX', 'ATL', 1354, '10:15 PM', '5:28 AM', '4:13'),
('DL', 'LAX', 'HND', 7, '10:56 AM', '2:35 PM', '11:39'),
('DL', 'LAX', 'JFK', 1908, '10:45 PM', '7:20 AM', '5:35'),
('DL', 'LHR', 'ATL', 33, '2:05 PM', '6:30 PM', '9:25'),
('DL', 'LHR', 'JFK', 1, '10:30 AM', '1:25 PM', '7:55'),
('DL', 'ORD', 'ATL', 393, '1:20 PM', '4:22 PM', '2:02'),
('DL', 'ORD', 'JFK', 5334, '12:00 PM', '3:19 PM', '2:19'),
('HU', 'ORD', 'PEK', 498, '3:20 PM', '6:05 PM', '13:45'),
('HU', 'PEK', 'ORD', 497, '1:40 PM', '1:20 PM', '12:40'),
('JL', 'CDG', 'HND', 46, '8:30 PM', '3:25 PM', '12:55'),
('JL', 'HND', 'CDG', 45, '10:40 AM', '4:15 PM', '12:35'),
('JL', 'HND', 'LHR', 43, '11:20 AM', '3:50 PM', '12:30'),
('JL', 'HND', 'PEK', 25, '4:50 PM', '7:45 PM', '3:55'),
('JL', 'LHR', 'HND', 42, '9:30 AM', '5:15 AM', '11:45'),
('JL', 'PEK', 'HND', 22, '4:30 PM', '9:05 PM', '3:35'),
('B6', 'JFK', 'LAX', 423, '10:30 AM', '1:39 PM', '6:09'),
('B6', 'JFK', 'ORD', 105, '3:53 PM', '5:50 PM', '2:57'),
('B6', 'LAX', 'JFK', 2024, '12:30 AM', '9:01 AM', '5:31'),
('B6', 'ORD', 'JFK', 906, '10:44 AM', '1:59 PM', '2:15'),
('KL', 'AMS', 'ATL', 621, '5:00 PM', '8:20 PM', '9:20'),
('KL', 'AMS', 'CDG', 1229, '8:00 AM', '9:25 AM', '1:25'),
('KL', 'AMS', 'JFK', 643, '5:55 PM', '7:59 PM', '8:04'),
('KL', 'AMS', 'LAX', 601, '9:55 AM', '11:50 AM', '10:55'),
('KL', 'AMS', 'LHR', 1021, '3:55 PM', '4:15 PM', '1:20'),
('KL', 'AMS', 'ORD', 611, '12:25 PM', '1:55 PM', '8:30'),
('KL', 'AMS', 'PEK', 897, '5:25 PM', '8:55 AM', '9:30'),
('KL', 'ATL', 'AMS', 622, '10:35 PM', '12:55 PM', '8:20'),
('KL', 'CDG', 'AMS', 1234, '2:30 PM', '3:50 PM', '1:20'),
('KL', 'JFK', 'AMS', 644, '10:15 PM', '11:35 AM', '7:20'),
('KL', 'LAX', 'AMS', 602, '1:40 PM', '9:00 AM', '10:20'),
('KL', 'LHR', 'AMS', 1024, '6:35 PM', '8:50 PM', '1:15'),
('KL', 'ORD', 'AMS', 612, '4:00 PM', '6:45 AM', '7:45'),
('KL', 'PEK', 'AMS', 898, '10:55 AM', '3:20 PM', '10:25'),
('DY', 'CDG', 'LAX', 7097, '3:40 PM', '6:00 PM', '11:20'),
('DY', 'LAX', 'CDG', 7098, '8:00 PM', '3:30 PM', '10:30'),
('WN', 'ATL', 'LAX', 232, '10:50 AM', '12:50 PM', '5:00'),
('WN', 'LAX', 'ATL', 233, '1:45 PM', '9:20 PM', '4:35'),
('NK', 'ATL', 'LAX', 404, '11:58 AM', '1:53 PM', '4:55'),
('NK', 'ATL', 'ORD', 672, '7:59 PM', '9:10 PM', '2:11'),
('NK', 'LAX', 'ATL', 403, '10:59 AM', '6:20 PM', '4:21'),
('NK', 'LAX', 'ORD', 730, '9:23 AM', '3:34 PM', '4:11'),
('NK', 'ORD', 'ATL', 221, '4:26 PM', '7:27 PM', '2:01'),
('NK', 'ORD', 'LAX', 731, '5:05 PM', '7:27 PM', '4:22'),
('UA', 'AMS', 'ORD', 908, '11:00 AM', '1:00 PM', '9:00'),
('UA', 'CDG', 'ORD', 986, '11:15 AM', '1:40 PM', '9:25'),
('UA', 'LAX', 'LHR', 923, '5:50 PM', '12:20 PM', '10:30'),
('UA', 'LAX', 'ORD', 660, '11:20 PM', '5:19 AM', '3:59'),
('UA', 'LHR', 'LAX', 935, '2:10 PM', '5:10 PM', '11:00'),
('UA', 'LHR', 'ORD', 959, '2:50 PM', '5:50 PM', '9:00'),
('UA', 'ORD', 'AMS', 909, '5:55 PM', '9:20 AM', '8:25'),
('UA', 'ORD', 'CDG', 987, '6:25 PM', '9:30 AM', '8:05'),
('UA', 'ORD', 'LAX', 310, '11:35 AM', '2:02 PM', '4:27'),
('UA', 'ORD', 'LHR', 958, '4:00 PM', '5:55 AM', '7:55'),
('UA', 'ORD', 'PEK', 851, '12:45 PM', '3:15 PM', '13:30'),
('UA', 'PEK', 'ORD', 850, '12:00 PM', '12:10 PM', '13:10'),
('VS', 'JFK', 'LHR', 138, '8:30 PM', '8:45 AM', '7:15'),
('VS', 'LAX', 'LHR', 24, '8:45 PM', '3:00 PM', '10:15'),
('VS', 'LHR', 'JFK', 45, '2:30 PM', '5:15 PM', '7:45'),
('VS', 'LHR', 'LAX', 141, '12:35 PM', '3:45 PM', '11:10'),
('SE', 'CDG', 'JFK', 10, '7:25 PM', '9:25 PM', '8:00'),
('SE', 'JFK', 'CDG', 21, '11:55 PM', '1:00 PM', '7:05');
